
央視壹,#genre#
CCTV5+高清,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6-电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7-军农,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
TTCV8-电视剧,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9-记录,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10-科教,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11-戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12-社会与法,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13-新闻,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14-少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15-音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16-奥运,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17-农业,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8

CCTV1-综合,http://219.145.20.108:2883/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://219.145.20.108:2883/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://219.145.20.108:2883/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://219.145.20.108:2883/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://219.145.20.108:2883/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://219.145.20.108:2883/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://219.145.20.108:2883/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://219.145.20.108:2883/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://219.145.20.108:2883/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://219.145.20.108:2883/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://219.145.20.108:2883/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://219.145.20.108:2883/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://219.145.20.108:2883/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://219.145.20.108:2883/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://219.145.20.108:2883/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5＋高清,http://219.145.20.108:2883/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV1-综合,http://iptv123.msns.cn:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://iptv123.msns.cn:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://iptv123.msns.cn:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://iptv123.msns.cn:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://iptv123.msns.cn:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://iptv123.msns.cn:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://iptv123.msns.cn:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://iptv123.msns.cn:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://iptv123.msns.cn:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://iptv123.msns.cn:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://iptv123.msns.cn:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://iptv123.msns.cn:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://iptv123.msns.cn:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://iptv123.msns.cn:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://iptv123.msns.cn:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://iptv123.msns.cn:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16-奥林匹克,,http://iptv123.msns.cn:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17-农业农村,,http://iptv123.msns.cn:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0

央視贰,#genre#
CCTV-1,http://222.174.140.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-2,http://222.174.140.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-3,http://222.174.140.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-4,http://222.174.140.242:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-5,http://222.174.140.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-5+,http://222.174.140.242:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-6,http://222.174.140.242:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-7,http://222.174.140.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-8,http://222.174.140.242:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-9,http://222.174.140.242:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-10,http://222.174.140.242:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-11,http://222.174.140.242:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-12,http://222.174.140.242:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-13,http://221.1.210.106:8053/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$山东菏泽 联通
CCTV-14,http://222.174.140.242:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-15,http://222.174.140.242:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-16,http://1.30.18.218:20080/hls/16/index.m3u8$内蒙古呼和浩特 联通
CCTV-17,http://221.1.210.106:8053/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$山东菏泽 联通




CCTV1-综合,http://123.160.235.166:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://123.160.235.166:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://123.160.235.166:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://123.160.235.166:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://123.160.235.166:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://123.160.235.166:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://123.160.235.166:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://123.160.235.166:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://123.160.235.166:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://123.160.235.166:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://123.160.235.166:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://123.160.235.166:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://123.160.235.166:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://123.160.235.166:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://123.160.235.166:85/tsfile/live/0015_1.m3u8?


CCTV1-综合,http://175.0.50.196:8899/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://175.0.50.196:8899/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://175.0.50.196:8899/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://175.0.50.196:8899/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://175.0.50.196:8899/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://175.0.50.196:8899/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://175.0.50.196:8899/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://175.0.50.196:8899/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://175.0.50.196:8899/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://175.0.50.196:8899/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://175.0.50.196:8899/tsfile/live/0011_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://175.0.50.196:8899/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://175.0.50.196:8899/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://175.0.50.196:8899/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://175.0.50.196:8899/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0

央視叁,#genre#


CCTV1,http://125.210.152.21:9121/live/hzgq-cctv1gq-h264.m3u8
CCTV2,http://125.210.152.21:9121/live/hzgq-cctv2gq-h264.m3u8
CCTV3,http://125.210.152.21:9121/live/hzgq-cctv3gq-h264.m3u8
CCTV4,http://125.210.152.21:9121/live/hzgq-cctv4gq-h264.m3u8
CCTV5,http://125.210.152.21:9121/live/hzgq-cctv5gq-h264.m3u8
CCTV5+,http://125.210.152.21:9121/live/hzgq-cctvzhgq-h264.m3u8
CCTV6,http://125.210.152.21:9121/live/hzgq-cctv6gq-h264.m3u8
CCTV7,http://125.210.152.21:9121/live/hzgq-cctv7gq-h264.m3u8
CCTV8,http://125.210.152.21:9121/live/hzgq-cctv8gq-h264.m3u8
CCTV9,http://125.210.152.21:9121/live/hzgq-cctvjlgq-h264.m3u8
CCTV10,http://125.210.152.21:9121/live/hzgq-cctv10gq-h264.m3u8
CCTV11,http://125.210.152.21:9121/live/hzgq-cctv11gq-h264.m3u8
CCTV12,http://125.210.152.21:9121/live/hzgq-cctv12gq-h264.m3u8
CCTV13,http://125.210.152.21:9121/live/hzgq-cctvnewsgq-h264.m3u8
CCTV14,http://125.210.152.21:9121/live/hzgq-cctvsegq-h264.m3u8
CCTV15,http://125.210.152.21:9121/live/hzgq-cctvmusicgq-h264.m3u8
CCTV16,http://125.210.152.21:9121/live/hzgq-cctv16gq-h264.m3u8
CCTV17,http://125.210.152.21:9121/live/hzgq-cctv17gq-h264.m3u8
CGTN,http://125.210.152.21:9121/live/hszx-cctvgj-h264.m3u8




CCTV1,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV2,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV5,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV7,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV7,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225778/1.m3u8
CCTV8,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV9,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV13,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV16,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV女性时尚,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8
CETV3,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8




CCTV1,http://222.243.24.51:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV2,http://58.220.219.14:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://182.107.188.104:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://39.165.24.218:808/hls/4/index.m3u8
CCTV5,http://182.107.188.104:8888/newlive/live/hls/6/live.m3u8
CCTV5+,http://182.107.188.104:8888/newlive/live/hls/7/live.m3u8
CCTV6,http://218.15.121.130:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://182.107.188.104:8888/newlive/live/hls/9/live.m3u8
CCTV8,http://182.107.188.104:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://115.231.200.110:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/25137bd7c4494128bf0cba271974928f/1200.m3u8
CCTV11,http://222.243.24.51:9901/tsfile/live/0011_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://182.107.188.104:8888/newlive/live/hls/13/live.m3u8
CCTV13,http://115.231.200.110:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://175.0.51.26:8899/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://182.107.188.104:8888/newlive/live/hls/16/live.m3u8
CCTV15,http://222.243.24.51:9901/tsfile/live/0015_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV17,http://222.243.24.51:9901/tsfile/live/0019_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://182.107.188.104:8888/newlive/live/hls/2/live.m3u8
CCTV11,http://182.107.188.104:8888/newlive/live/hls/12/live.m3u8
CCTV1,http://183.134.3.22:8888/newlive/live/hls/2/live.m3u8
CCTV1,http://115.231.200.110:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://182.107.188.104:8888/newlive/live/hls/5/live.m3u8
CCTV15,http://175.0.51.26:8899/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://222.243.24.51:9901/tsfile/live/0007_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://182.107.188.104:8888/newlive/live/hls/8/live.m3u8
CCTV12,http://221.226.4.10:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://219.146.90.158:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://182.107.188.104:8888/newlive/live/hls/11/live.m3u8
CCTV5+,http://39.165.24.218:808/hls/5/index.m3u8
CCTV10,http://175.0.51.26:8899/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://182.107.188.104:8888/newlive/live/hls/17/live.m3u8
CCTV17,http://171.14.89.201:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://39.165.24.218:808/hls/11/index.m3u8
CCTV3,http://219.146.90.158:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://222.89.107.42:9876/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://219.146.90.158:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://219.146.90.158:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://219.146.90.158:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://183.134.3.22:8888/newlive/live/hls/8/live.m3u8
CCTV8,http://219.146.90.158:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://219.146.90.158:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://219.146.90.158:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://219.146.90.158:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://219.146.90.158:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://219.146.90.158:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://182.107.188.104:8888/newlive/live/hls/14/live.m3u8
